country_code,country_name,region,sub_region,year,arrivals_millions,arrivals_growth,tourism_receipts_usd_billions,tourism_receipts_growth,average_length_of_stay_days,arrivals_by_purpose_personal,arrivals_by_purpose_business ,top_source_country_1,top_source_country_1_share,top_source_country_2,top_source_country_2_Share,top_source_country_3,top_source_country_3_share,tourism_gdp,tourism_employment_thousands,renewable_energy,tourist_density_per_1000_residents
CHN,China,Asia,Eastern Asia,2017,"60,740.00",2.48,32.6,-26.58,2.71,"48,956.40","11,783.60",South,15%,Vietnam,9%,Japan,5%,11,"29,800",23,111
CHN,China,Asia,Eastern Asia,2018,"62,900.00",3.56,40.4,23.93,2.71,"50,697.40","12,202.60",South,15%,Vietnam,9%,Japan,5%,11.3,"30,500",25,114
CHN,China,Asia,Eastern Asia,2019,"65,725.00",4.49,35.8,-11.39,2.71,"52,974.40","12,750.70",South,15%,Vietnam,9%,Japan,5%,11,"31,000",26,117
CHN,China,Asia,Eastern Asia,2020,"7,967.00",-87.88,14.2,-60.34,2.21,"6,421.40","1,545.60",South,14%,Vietnam,8%,Japan,4%,5.3,"12,000",27,20
CHN,China,Asia,Eastern Asia,2021,"4,845.00",-39.19,8.2,-42.25,2.71,"3,905.10",939.9,South,14%,Vietnam,8%,Japan,4%,5.7,"13,500",29,19
CHN,China,Asia,Eastern Asia,2022,"21,463.00",342.99,9.6,17.07,2.71,"17,299.20","4,163.80",South,14%,Vietnam,8%,Japan,4%,6.8,"25,000",30,18
ITA,Italy,Europe,Southern Europe,2015,"50,732.00",4.44,41.5,-13,2.95,"42,614.90","8,117.10",Germany,19%,France,12%,Austria,8%,13.2,"3,150",40,"1,335"
ITA,Italy,Europe,Southern Europe,2016,"52,372.00",3.23,42.3,1.93,2.97,"43,992.50","8,379.50",Germany,19%,France,12%,Austria,8%,13.1,"3,200",40,"1,376"
ITA,Italy,Europe,Southern Europe,2017,"58,253.00",11.23,46.4,9.69,2.93,"48,932.50","9,320.50",Germany,19%,France,12%,Austria,8%,13,"3,250",40,"1,455"
ITA,Italy,Europe,Southern Europe,2018,"61,567.20",5.69,51.8,11.64,2.89,"51,716.40","9,850.80",Germany,19%,France,12%,Austria,8%,13,"3,300",40,"1,509"
ITA,Italy,Europe,Southern Europe,2019,"64,513.00",4.78,52,0.39,2.87,"54,190.90","10,322.10",Germany,19%,France,12%,Austria,8%,13.1,"3,350",40,"1,544"
ITA,Italy,Europe,Southern Europe,2020,"25,190.00",-60.95,20.2,-61.15,3.16,"21,159.60","4,030.40",Germany,18%,France,11%,Austria,7%,8.7,"2,300",40,622
ITA,Italy,Europe,Southern Europe,2021,"26,888.00",6.74,25.5,26.24,3.68,"22,585.90","4,302.10",Germany,18%,France,11%,Austria,7%,9.2,"2,500",42,650
ITA,Italy,Europe,Southern Europe,2022,"49,811.00",85.25,47.8,87.45,3.48,"41,841.20","7,969.80",Germany,18%,France,11%,Austria,7%,10.8,"3,000",42,"1,202"
THA,Thailand,Asia,Southeast Asia,2015,"29,923.00",20.61,44.9,17,2.24,"25,434.00","4,489.00",China,27%,Malaysia,10%,South Korea,5%,21.7,"6,700",10,432
THA,Thailand,Asia,Southeast Asia,2016,"32,530.00",8.71,48.5,8.02,2.25,"27,651.00","4,879.00",China,27%,Malaysia,10%,South Korea,5%,21.6,"6,800",11,470
THA,Thailand,Asia,Southeast Asia,2017,"35,592.00",9.41,57.1,17.73,2.28,"33,959.00","1,632.90",China,27%,Malaysia,10%,South Korea,5%,21.5,"6,900",12,514
